OBJECTID,APN,HOUSE,STREET_NAME,STREET_TYPE,ASSESSMENT,RESOURCE_NAME,ORDINANCE,Shape__Area,Shape__Length
705,00201550390000,614,11TH,ST,Landmark, ,82-029,3550.824219,246.2309331
706,00201560060000,1108,G,ST,Landmark, ,82-029,4275.998047,374.3382323
707,00201630140000,612,14TH,ST,Landmark, ,3911,4427.679688,269.2107821
708,00201640140000,1307,H,ST,Landmark, ,3911,4400.951172,300.0467231
709,00201650070000,1418,F,ST,Landmark, ,3911,6676.808594,407.5363613
710,00201650230000,617,14TH,ST,Landmark, ,3911,2764.261719,231.4336512
711,00201760110000,712,18TH,ST,Landmark, ,3911,2399.99707,200.0002292
712,00300100020000,601,ALHAMBRA,BLVD,Landmark,Florence Turnton Clunie Memorial,83-115,1187699.521,4299.834772
713,00300860040000,301,23RD,ST,Landmark, ,3911,2967.916016,238.1634648
714,00602920010000,1500,Q,ST,Landmark,Manuel Enos-Grocer,82-046,6518.347656,392.7120777
715,00602950040000,1706,P,ST,Landmark, ,3911,7097.754883,407.8782146
716,00700210290000,2111,I,ST,Landmark, ,3911,7495.514648,416.4420807
717,00700220020000,2100,I,ST,Landmark, ,3911,3298.55957,242.720774
718,00700230180000,2215,I,ST,Landmark, ,3911,6439.007813,400.9188209
719,00700250060000,2324,H,ST,Landmark, ,3911,6462.995117,404.2366525
720,00700260040000,2300,I,ST,Landmark, ,3911,3426.59082,246.2423278
721,00700310140000,2417,I,ST,Landmark, ,3911,6351.990234,399.843222
722,00700410050000,2710,H,ST,Landmark, ,3911,6473.948242,404.8249618
723,00700840300000,1931,L,ST,Landmark, ,3911,6649.194336,326.643637
724,00700920170000,2127,L,ST,Landmark, ,3911,3102.425781,234.0990636
725,00700960060000,2326,K,ST,Landmark, ,3911,13344.00684,488.5715444
726,00700960250000,2301,L,ST,Landmark, ,3911,4262.476563,291.6505624
727,00701050040000,2610,J,ST,Landmark, ,3911,6337.509766,405.8744281
728,00701050100000,1008,27TH,ST,Landmark, ,3911,2820.461914,218.220327
729,00701110150000,2719,K,ST,Landmark,Eastern Star Hotel,82-046,11095.78516,455.5210685
730,00701530100000,2230,L,ST,Landmark, ,3911,3058.801758,236.2083736
731,00701530160000,2209,CAPITOL,AVE,Landmark, ,3911,7988.881836,423.5700192
732,00701550170000,1227,23RD,ST,Landmark, ,3911,2857.4375,224.4700812
733,00701610010000,1215,24TH,ST,Landmark, ,3911,2835.024414,224.2896605
734,00701620090000,1316,25TH,ST,Landmark, ,3911,4595.283203,285.1265078
735,00701620130000,2417,N,ST,Landmark, ,3911,6302.775391,395.1385169
736,00701630020000,1211,25TH,ST,Landmark, ,3911,3029.515625,232.2032153
737,00701630190000,2527,CAPITOL,AVE,Landmark, ,3911,8178.195313,426.8737958
